"entry_id","site_id","channel_id","author_id","forum_topic_id","ip_address","title","url_title","status","status_id","versioning_enabled","view_count_one","view_count_two","view_count_three","view_count_four","allow_comments","sticky","entry_date","year","month","day","expiration_date","comment_expiration_date","edit_date","recent_comment_date","comment_total","pg_filename","pg_unique_name","pg_air_supply_number","pg_keltec_number","pg_oem_name","pg_oem_number","pg_item_description","pg_xrow","pg_price","pg_inventory_type","pg_chicopee_number",
"220870","1","47","1","","174.100.114.154","202110200000001","202110200000001","open","1","n","0","0","0","0","n","n","1643469526","2022","01","29","0","0","1643469526","","0","","","KA185-037","KA185-037","ABAC AMERICAN","2236105706","ELEMENT - AIR","","","","",
"220871","1","47","1","","174.100.114.154","202110200000002","202110200000002","open","1","n","0","0","0","0","n","n","1643469526","2022","01","29","0","0","1643469526","","0","","","FHE928QE-PB","KV150-034","ABAC AMERICAN","2236105717","AIR/OIL SEPARATOR","","","","",
"220872","1","47","1","","174.100.114.154","202110200000003","202110200000003","open","1","n","0","0","0","0","n","n","1643469526","2022","01","29","0","0","1643469526","","0","","","KL685-007","KL685-007","ABAC AMERICAN","2236105734","ELEMENT - OIL","","","","",
"220873","1","47","1","","174.100.114.154","202110200000004","202110200000004","open","1","n","0","0","0","0","n","n","1643469526","2022","01","29","0","0","1643469526","","0","","","KV90-021P","KV90-021P","ABAC AMERICAN","2236105746","AIR/OIL SEPARATOR","","","","",
"220874","1","47","1","","174.100.114.154","202110200000005","202110200000005","open","1","n","0","0","0","0","n","n","1643469526","2022","01","29","0","0","1643469526","","0","","","KV175-039","KV175-039","ABAC AMERICAN","2236105752","AIR/OIL SEPARATOR","","","","",
"220875","1","47","1","","174.100.114.154","202110200000006","202110200000006","open","1","n","0","0","0","0","n","n","1643469526","2022","01","29","0","0","1643469526","","0","","","KD490-006","KD490-006","ABAC AMERICAN","2236105772","AIR/OIL SEPARATOR","","","","",
"220876","1","47","1","","174.100.114.154","202110200000007","202110200000007","open","1","n","0","0","0","0","n","n","1643469526","2022","01","29","0","0","1643469526","","0","","","18-2057","KL235-006","ABAC AMERICAN","2236105773","ELEMENT - OIL","","","","",
"220877","1","47","1","","174.100.114.154","202110200000008","202110200000008","open","1","n","0","0","0","0","n","n","1643469526","2022","01","29","0","0","1643469526","","0","","","KD610-008","KD610-008","ABAC AMERICAN","2236105790","AIR/OIL SEPARATOR","","","","",
"220878","1","47","1","","174.100.114.154","202110200000009","202110200000009","open","1","n","0","0","0","0","n","n","1643469526","2022","01","29","0","0","1643469526","","0","","","KV265-018","KV265-018","ABAC AMERICAN","2236105885","AIR/OIL SEPARATOR","","","","",
"220879","1","47","1","","174.100.114.154","202110200000010","202110200000010","open","1","n","0","0","0","0","n","n","1643469526","2022","01","29","0","0","1643469526","","0","","","18-2057","KL235-006","ABAC AMERICAN","2236105973","ELEMENT - OIL","","","","",
