"entry_id","site_id","channel_id","author_id","forum_topic_id","ip_address","title","url_title","status","status_id","versioning_enabled","view_count_one","view_count_two","view_count_three","view_count_four","allow_comments","sticky","entry_date","year","month","day","expiration_date","comment_expiration_date","edit_date","recent_comment_date","comment_total","description","price","class","photo","inventory","inventory_main","inventory_tx","inventory_nc","weight","in_transit_qty_main","manufactuers_lead_time","on_order_po_main","max_product_discount","price_3","um","inventory_ca","po_req_date_main","buyer","on_order_po_nc","on_order_po_tx","on_order_po_ca","in_transit_qty_nc","in_transit_qty_tx","in_transit_qty_ca","po_req_date_tx","po_req_date_nc","po_req_date_ca",
"218587","1","37","13","","76.190.38.198","KV400-030-117","kv400-030-117","closed","2","n","0","0","0","0","n","n","1641560981","2022","01","07","0","0","1641565124","","0","FLANGE  14.00 X 7.44","0","01","","0","16","0","0","0","0","","0","0","0","EACH","0","","SPECIAL","0","0","0","0","0","0","","","",
"218588","1","37","13","","76.190.38.198","KV215-002-007","kv215-002-007","closed","2","n","0","0","0","0","n","n","1641561035","2022","01","07","0","0","1641565322","","0","STEP FLANGEx  6.44 X 4.75 X 2.50 (SEND TO PLATER)","25","01","","0","190","0","0","0","0","","0","0","0","EACH","0","","STOCK","0","0","0","0","0","0","","","",
"218589","1","37","13","","76.190.38.198","KV360-015-007","kv360-015-007","closed","2","n","0","0","0","0","n","n","1641561221","2022","01","07","0","0","1641565410","","0","STEP FLANGEx  12.31 X 10.50 X 6.25","0","01","","0","77","0","0","0","0","","0","0","0","EACH","0","","STOCK","0","0","0","0","0","0","","","",
"218599","1","37","13","","76.190.38.198","L60018","l60018","closed","2","n","0","0","0","0","n","n","1641569704","2022","01","07","0","0","1641573531","","0","L-ring 8.66IN OD x 7.72IN ID","3.68","01","","0","4","0","0","0","0","","0","0","0","EACH","0","","","0","0","0","0","0","0","","","",
"218608","1","37","13","","76.190.38.198","09386","09386","closed","2","n","0","0","0","0","n","n","1641573370","2022","01","07","0","0","1641577186","","0","L-RING  9.31 X 8.31","0","01","","0","46","0","0","0","0","","0","0","0","EACH","0","","","0","0","0","0","0","0","","","",
"218611","1","37","13","","76.190.38.198","KL700-069-002","kl700-069-002","closed","2","n","0","0","0","0","n","n","1641573648","2022","01","07","0","0","1641930570","","0","Z-RING  5.63 X 2.78","4.88","01","","0","0","0","0","0","0","","0","0","0","EACH","0","","","0","0","0","0","0","0","","","",
"218612","1","37","13","","76.190.38.198","KL700-069-007","kl700-069-007","closed","2","n","0","0","0","0","n","n","1641573653","2022","01","07","0","0","1641926377","","0","FLANGE  5.50 X 2.78","3.45","01","","0","0","0","0","0","0","","0","0","0","EACH","0","","","0","0","0","0","0","0","","","",
"218613","1","37","13","","76.190.38.198","KL700-069P","kl700-069p","open","1","n","0","0","0","0","n","n","1641573658","2022","01","07","0","0","1642020249","","0","010-022680-002  ^  OIL FILTER","0","OI","","0","0","0","0","0","0","","0","0","0","EACH","0","","MTO","0","0","0","0","0","0","","","",
"218614","1","37","13","","76.190.38.198","04696","04696","closed","2","n","0","0","0","0","n","n","1641573694","2022","01","07","0","0","1641577843","","0","L-RING  4.69 X 4.00","0","01","","0","106","0","0","0","0","","0","0","0","EACH","0","","STOCK","0","0","0","0","0","0","","","",
"218615","1","37","13","","76.190.38.198","KD105-042-007B","kd105-042-007b","closed","2","n","0","0","0","0","n","n","1641573897","2022","01","07","0","0","1641578147","","0","FLANGEx 3.62 X 2.21  (SEND TO PLATERS check notepad)","0","01","","0","0","0","0","0","0","","0","0","0","EACH","0","","STOCK","0","0","0","0","0","0","","","",
"218616","1","37","13","","76.190.38.198","06256","06256","closed","2","n","0","0","0","0","n","n","1641573960","2022","01","07","0","0","1641577498","","0","L-RING  6.25 X 5.25","0","01","","0","64","0","0","0","0","","0","0","0","EACH","0","","STOCK","0","0","0","0","0","0","","","",
"218630","1","37","13","","76.190.38.198","KR550-047P","kr550-047p","open","1","n","0","0","0","0","n","n","1641580398","2022","01","07","0","0","1642550473","","0","SEP-PROD","255","REF","","0","0","0","0","0","0","","0","0","0","EACH","0","","MTO","0","0","0","0","0","0","","","",
